Which of these following items are benefits of E-Learning? Hint: choose multiple answers (3) | ,lower cost,greater flexibility,more effective learning
QN=359 Capabilities of the Internet that have made it more difficult for companies to capture | d. The Internet makes it easier to make secure payments.
QN=360 Projections of the business technological, political, economic, and other environments | a. forecasts.
QN=361 All of the following are elements of a companys strategy EXCEPT: | c. day-to-day operations.
QN=362 All of the following about the strategic planning process are true EXCEPT: | d. The strategic planning process begins with strategy formulation.
QN=363 A specific outcome of the strategy initiation phase is the ________________, which | a. company analysis
QN=364 Googles ___________________ is its expertise in information search technology. | c. core competency
QN=365 _______________ is the process of making the selected applications and projects a | a. Project management
QN=366 An analytical tool in which a company looks for points of differentiation between | b. competitor analysis grid
QN=367 _____________ is the continuous evaluation of progress toward the organizations | d. strategy assessment
QN=368 All of the following are situations when a business plan should be done EXCEPT: | a. When an existing business is deploying a CRM system.
QN=369 Which of the following about business plans and business cases is NOT correct? | c. The audiences are the samesenior management and the board or directors.
QN=370 The most efficient way to expand an organizations scope is: | a. to introduce new products or services into new or existing markets without increasing
QN=371 Separating a companys online operations into a new company makes sense in each of | c. when the company is unable to form new alliances, attract new talent, or raise
QN=372 The most dangerous risk to a company engaged in e-commerce is: | b. business risk.
QN=373 All of the following determine the degree of collaboration between off-line and online | c. the pricing strategy.
QN=374 Internet technologies can provide consumers with easier access to pricing information, | d. reducing prices.
QN=375 A_______________ is a form of business alliance composed of several business | c. virtual corporation
QN=376 The most important objectives of strategic assessment are all of the following | d. Identify what competitors are doing to avoid head-on competition.
QN=377 To defend against unethical and illegal business tactics that exploit EC operations, | c. Implemented honeypots.
QN=380 Critics of political spam are against its use because they believe that: | a. all spam is a nuisance, clogs mail servers, and creates security risks
QN=381 Due process is | c. a guarantee of basic fairness and fair procedures in legal action.
QN=382 Property rights relevant to e-commerce include all of the following EXCEPT: | a. The right to bring criminal charges against a violator.
QN=383 Intellectual property law is the area of law that is associated with each of the following | a. business contracts.
QN=385 Each of the following statements about digital rights management (DRM) is true | b. DRM technologies were developed with strict regard for privacy protection.
QN=388 All of the following are ways to use the Internet to find information about an individual | a. Stealing the individuals computer.
QN=389 A domain name is: | b. intangible property protected by law
QN=390 The least effective method to protect against pop-up ads and their risk is: | b. Minimizing the pop-up window.
QN=391 All of the following statements apply to hate Web sites EXCEPT: | d. The intent of most hate Web sites is to commit fraud.
1. An extranet uses private data lines to connect several intranets. | False
2. A business using B2C business model trades with other businesses. | False
3. An e-marketplace does not have to be centered around a physical location. | True
4. A company that sells products directly to the end consumer is considered a B2C firm. | True
5. Social networks connect people with specific interests. | True
6. An intranet is a private network that uses Internet protocols. | True
7. E-business refers to selling goods and services. | False
8. Affiliate marketing refers to using banner advertisements to bring customers to your site. | False
9. The membership business model gives members discounts when they make purchases. | True
10. EC is primarily an IT field, it is not interdisciplinary. | False
11. MySpace is an example of a B2B site. | False
12. A revenue model describes how a company will generate profits. | True
13. Lower prices on products is not a consumer benefit of EC. | False
14. A portal is an Internet gateway to a large variety of information and services. | True
15. Lack of consumer confidence in EC security is a limitation of EC. | True
1. The three functions of a market include: matching buyers and sellers, facilitating transactions and institutional infrastructure. | True
2. Marketspaces are defined by their physical locations. | False
3. In a marketspace, some goods can be digitized. | True
4. The Internet ecosystem refers to animals and plants discussed online. | False
5. When choosing between two identical goods, customers will always choose the lowest price. | False
6. Intermediaries help to decrease contracting risk in marketspaces. | True
7. Ordering using EC benefits buyers, but not sellers. | False
8. Electronic cash is not an important part of EC. | False
9. Mobile commerce refers to transactions made using wireless devices. | True
10. An auction is characterized by the competitive nature by which the final price is reached. | True
11. Bargaining power of suppliers is not one of Porter's five forces. | False
12. Rivalry among existing competitors is one of Porter's five forces. | True
13. Increasing self service is a benefit of EC. | True
14. Virtual manufacturing involves pretending you are creating something. | False
15. The time required for negotiation online is the same for all products because of the use of intelligent agents. | False
1. Digital goods are also referred to as hard goods. | False
2. Shopbots are tools that rate businesses based on multiple criteria. | False
3. Paying a yearly fee to access Salon.com's articles is an example of a subscription business mod | True
4. A pure-play e-tailer dedicates the majority of their capital to online sales, with offline sales lagging behind. | False
5. A niche e-tailer may be able to support an online effort that may not have enough customers in any particular local market. | True
6. Direct marketing attempts to bring customers into local stores. | False
7. On-demand delivery services usually rely on third party shipping agents (like UPS). | False
8. Virtual travel agents offer only a small subset of the services provided by a traditional travel agent. | False
9. Most online travel agents do not offer real travel bargains. | True
10. Some Web sites allow buyers to purchase travel at a deep discount if it is purchased at the last minute. | True
11. The electronic job market has increased the number of individuals who advertise their availability. | True
12. Job seekers can both reply to ads and post their information on several online recruiting sites. | True
13. Online trading and investing in stocks is one of the fastest growing areas of EC. | True
14. Online banking is purely an expense for banks, it offers no advantage other than to retain current customers. | False
15. Online publishing only seeks to digitize materials that have traditionally been available in print. | False
1. Individual buyers are more important than organizational buyers. | False
2. A consumer who purchases an item for a business can be described as an organizational buyer. | False
3. Companies that sell to intermediaries do not care about the final customer's satisfaction. | False
4. Someone being influenced by friends is an example of a social environment variable. | True
5. The most cited reason for not purchasing online is price. | False
6. The person who first suggests a purchase is the Initiator. | True
7. Customer loyalty is the most significant contributor to profitability. | True
8. Learning agent technology is a nonintrusive way to personalize web content by watching a user's actions. | True
9. Market segmentation increases the size of the group you are selling to. | False
10. Psychographic segmentation involves dividing customers based on where they live. | False
11. Conducting research online is not always ideal, because the demographics of Internet users are not the same as the general population. | True
12. Intelligent agents are capable of more sophisticated tasks than search engines. | True
13. Merchant brokering agents help users decide which product to purchase. | False
14. Negotiation agents are most commonly used in a B2B setting. | True
15. Online market research is generally less expensive than traditional market research. | True
Which of the following is not an attribute of a corporate portal? | The public uses this portal to access the Internet.
EC reduces cycle time in all of the following ways except: | Customer satisfaction.
Lowering a customer's search cost allows them to: | Research more items to find the best price.
In what way does mobile computing not help organizations? | Costs of hardware are increasing
Which is an example of reintermediation? | Using a salesperson to negotiate a large, complex agreement
Trust verification sites evaluate a business's trustworthiness. How comprehensive is this evaluation? | Moderate, generally verification indicates a trustworthy user.
Web mining hopes to accomplish all of the following except: | Determine characteristics of specific users.
What is not a benefit of an FAQ? | The answers can change dynamically based on the questions.
The ways in which EC is done include: | the Internet, value-added networks, on local area networks using intranets, or on a single computerized machine.
________ refers to the second-generation of Internet-based services that let people collaborate and share information online in new ways, such as social networks and wikis. | Web 2.0
A ____________ has capabilities that can be used to perform routine tasks that require intelligence such as providing customers with assistance based on their movements on a Web site. | software agent
________________ are customers who are willing to shop online because they dislike going to grocery stores. | Shopping avoiders
_____________ are extremely busy customers willing to shop online in order to free up time. | Leading edgers
The core of the ?new marketing model? consists of: | customer relationships.
The major disadvantage of banners is ______________.. | their cost
____________ can be supported more effectively and efficiently through direct buyerseller offline or online negotiations, which can be done in private exchanges or private trading rooms in public exchanges. | Strategic purchases
Nonproduction materials such as equipment and tools that support production are called: | indirect materials
In a sell-side e-marketplace, a business sells products and services to business customers, frequently over _______________________. | an extranet.
Because conducting reverse auctions in B2B can be a fairly complex process, a(n) ________ may be essential. | third-party intermediary
The exclusively online publication of Stephen Kings e-book Riding the Bullet in March 2000: | as disrupted by hackers who breached security, then distributed free copies of the book
A type of e-book referred to as the is a truly multimedia, online-only book that has hyperlinks, three-dimensional text and display, graphics, audio, and video. It supports non linear exploration of topics | rubics-cube hyperlink book
Chaplin reports quarterly sales revenue from his business to city hall over the Internet. He pays his local business tax with a credit card. This is an example of: | G2B e-commerce
A podcast is distinguished from other digital audio formats by: | its ability to be downloaded automatically, using software capable of reading feed formats such as RSS
A government agency uses an online reverse auction to satisfy the tendering system requirements specified by law. This is an example of: | e-Procurement
All of the following are problems in implementing e-Government EXCEPT: | the technology needed to implement stage 6 of the Deloitte transformation process does not exist yet
Knowledge generated in e-business contributes to the enhancement of three core operating process, which include all of the following EXCEPT: | project management
The business forces that are driving the transition from traditional education to online learning are all of the following EXCEPT: | limited supply of faculty with specialized expertise.
One of the facilitators of e-learning is technology such as wikipedia.org. | Web 2.0
More and more people are willing to pay for digital music, as shown by the success of . | c. Apples iTunes
is the electronic delivery of newspapers, magazines, books, videos,music, and other digitizable information over the Internet. | Online publishing
A major purpose of an organizational knowledge base is to support and allow . | knowledge sharing
involves using various computer-based tools and techniques to analyze transaction data and generate new ideas. | Knowledge creation
Customer-to-customer (C2C) e-commerce is conducted in various ways on the Internet,but the best-known C2C activities are: | C2C auctions
P2P systems have all of the following key characteristics EXCEPT: | The overall system is well integrated, but lacks tools for easy creation of content or for adding functionalities.
M-commerce transactions and activities require and | hardware and software infrastructures; infrastructure support
Components of a wireless infrastructure that support delivery of services over a wireless connection are: | WAP gateways, GPS locators, and GPS satellites.
A suite of network protocols designed to enable different kinds of wireless devices is called: | Wireless Application Protocol.
The application logic in a handheld PDA, smart phone, Palm or Wintel notebook is called: | a mobile application user interface.
Rick sends a message from a delayed flight to his friend on her cell phone that he will be arriving late. The service that allows the sending and receiving of such short text messages on mobile phones is called: | SMS
Infrastructures that sua. pport the wireless connection are: | a. network access points, mobile communications server switches, and cellular transmitters and receivers.
The IEEE standard offers bandwidth transfer rates of 200 to 540 Mbps, which makes it impractical because it exceeds the limits of most broadband connections used by homes and small businesses | 802.11n
Most WLANs run on a telecommunications standard known as , which is more commonly called . | IEEE 802.11; Wi-Fi
A is suitable for mobile users who need to make very short-range device-to-device wireless connections within a small space, such as a single room, and most commonly with Bluetooth. | personal area network
All of the following about wireless wide area networks (WWAN) are true EXCEPT: | The single WWAN network standard insures compatibility of handsets within and between countries.
The major attributes that enable development of new applications that are possible only in a mobile environment include all of the following EXCEPT: | Security
As in e-commerce, m-commerce B2C applications are concentrated in each of the following areas EXCEPT: | c. telecommunications
Mobile access supports the two functions of sales force mobilization and field service, which extends the reach of to both employees and business partners on a 24/7 basis to any place where recipients are located. | customer relationship management <442>
One way to share information with supply chain partners is wireless , which is the science of measuring physical phenomena such as temperature, volume, or an on/off condition at a remote point and transmitting the value to a distant recorder or observer. | telemetry
The development of m-commerce is being driven by the following technological, business, social, and economic factors EXCEPT: | The transition to a manufacturing economy.
One initiative underway that could lead to widespread support for the introduction of RFID is the , which identifies the manufacturer, producer, version, and serial number of | Electronic Product Code
By enabling sales force employees to record orders in real time, the organization benefits through each of the following EXCEPT: | more extensive collaboration and sharing of customer leads.
refers to the integration of computers and wireless communications in order to improve information flow | telematics
All of the following about RFID are true EXCEPT: | an RFID tag can hold 20 times the amount of information a bar code can hold..100 feet
All of the following are barriers to location-based m-commerce EXCEPT: | There are presently not enough location-based systems to make this a viable technology.
The services provided through location-based m-commerce focus on key factors which include all of the following EXCEPT: | Geocaching, or determining the topography of an area.
You are walking near a coffee shop and suddenly your cell phone beeps with a message: Come inside and get a free biscotti with any purchase. This is an example of: | location-based advertising
Many experts believe that the next major step in the evolution of computing will be _____________ in which almost every object will have processing power and a wired or wireless connection to a network. | pervasive computing
The process of building auction applications is complex for all of the following reasons EXCEPT: | auctions must provide payment systems
Two purposes of a types of auctions are liquidation and market efficiency | one seller, many potential buyers
The auction model is popular in B2B. | one-buyer, one-seller
Reverse auctions are a type of auctions. | one buyer, many potential sellers
The name-your own-price model pioneered by Priceline.com is a type of auction. | one buyer, many potential sellers
Auctions done in exchanges or double auctions are auctions. | many buyers, many sellers
Jackie uses a software system to place bids automatically on her behalf until her predetermined maximum price is reached. The software bids in such a way as to minimize the final bid. This is referred to as: | proxy bidding
Bidders sometimes use phantom bidders to drive bid prices up rapidly at the beginning of an auction, thus discouraging bidding from legitimate bidders. At the last minute, the phantom bidders pull out, which awards the item to a very low bidding customer. This practice is called: | bid shielding
A(n) takes place between sellers and buyers in one industry or for one commodity, such as flowers, cars, or cattle. | vertical auction
In electronic auctions, near-perfect market information is available about prices, products, current supply and demand, and so on. This feature provides benefits to . | buyers and sellers
Benefits of electronics auctions (e-auctions) to sellers include all of the following EXCEPT: | Anonymity
The practice by sellers of having associates place fake bids in an auction as a way to drive up the selling price is called: | shilling.
Compared to competitive markets, auction prices are often when there are multiple bidders. | higher
Compared to competitive markets, auction prices are often when there are very few bidders. | lower
Many auction sites are implementing because of the significant increase in the number of users who browse the Internet wirelessly. | m-commerce applications
A major shortcoming with authentication services is: | two different authenticators may come up with different opinions regarding the authenticity and description of a given item.
John wants to know if the first edition novel he just purchased through an e-auction is actually a first edition. The auction host helps him locate an expert that will him whether the novel is a genuine first edition or a fake. This is an example of: | authentication
Many companies use intermediaries or trading assistants instead of implementing e-auctions themselves for each of the following reasons EXCEPT: | To avoid tax and legal fees.
The incidence of online fraud and identify theft has increased for each of the following reasons except: | New effective phishing scams and schemes being carried out by computer experts.
Cyber cons have a negative effect on EC because | defending against these cons and compensating for damages significantly increase the costs of EC.
The key reasons why EC criminals cannot be stopped include each of the following except: | Sophisticated hackers use browsers to crack into Web sites.
It is currently known that if a front-end application such as a Web site is effectively secured, then | the data itself may not be secure because the application may not function as planned.
A vulnerability | is a weakness in software or other mechanisms that a hacker can use directly to gain access to a system or network.
The underlying reasons why a comprehensive EC security strategy is needed include all of the following except: | Managers treating EC security as a process.
The protection of information systems against unauthorized access to or modification of information that is stored, processed, or being sent over a network is referred to as . | Information assurance.
The success and security of EC depends on the of information and the business Web site. | confidentiality, integrity, and availability
The most cost-effective approach to EC security is to develop and implement a strategy that | proactively meets regulatory, financial, marketing and operational requirements.
To be effective, an acceptable use policy (AUP) needs | to inform all users of their responsibilities when using company networks, computer equipment, wireless devices, and customer data.
Which of the following statements about hardware and software security defenses is false? | Hardware and software security defenses protect against irresponsible business practices or corrupt management.
Social engineering attacks are: | take advantage of Web 2.0 applications like social networking sites, blogs, wikis and RSS feeds.
A technique known as web page hijacking | enables a malicious Web master to displace the pages of an EC Web site in the Search Engine Results Pages (SERPS) to redirect customers to another site.
A botnet is: | a coordinated network of computers that can scan for and compromise other computers and launch DOS attacks.
Access to a network ought to be based on: | the policy of least privilege where access to network resources are blocked and permitted only when needed to conduct business.
Firewalls that filter requests from the Internet to a private network based on the IP address of the computer sending or receiving those requests are called: | packet-filtering routers.
The advantages of virtual private networks (VPN) for data communications include all of the following except: | They ensure the confidentiality and integrity of the data transmitted over the Internet without requiring encyption.
A host-based intrusion detection system (IDS): | Resides on the server that is being monitored where it can detect whether critical or security-related files have been tampered with or whether a user has attempted to access files that he or she is not authorized to use.
Factors that come into play in determining whether a particular method of e-payment achieves critical mass include all of the following EXCEPT: | full traceability of the buyers.
A card that draws the payment amount directly from the users checking account is called a(n): | debit card
The process of determining whether a card is active and whether the customer has sufficient funds for the purchase is called: | authorization.
are financial institutions that provides a customer with a payment card. | Issuing banks
provide connectivity among merchants, customers, and financial networks enabling authorization and payments is called the: | Payment processing services
From the perspective of the billing firm, all of the following are advantages of e-billing EXCEPT: | universal availability.
From the perspective of the customer, all of the following are advantages of e-billing EXCEPT: | greater security than other types of payments.
B2B payments are part of a much larger financial supply chain that includes all of the following EXCEPT: | financial reporting.
In financial supply chain management, the goal is to optimize all of the following EXCEPT: | the physical supply chain
Unlike the physical supply chain, characterize the financial supply chains of most companies. | inefficiencies
The process by which companies present invoices and make payments to one another through the Internet is known as: | enterprise invoice presentment and payment.
The implementation of most EC applications requires the use of all of the following support services EXCEPT: | manufacturing
Most EC applications are based on that begin with an order, frequently a order. | pull operations; customized
Customer-facing activities or are activities, such as advertising and order taking, that are visible to customers. | front-office operations.
The Council of Supply Chain Management Professionals defines as the process of planning, implementing, and controlling the efficient and effective flow and storage of goods, services, and related information from point of origin to point of consumption for the purpose of conforming to customer requirements. | logistics.
The administrative activities of order taking and fulfillment involve all of the following activities EXCEPT: | accounts payable.
The major difference between e-logistics and traditional logistics is: | traditional logistics deals with movement of large amounts of materials to a few destinations.
The inability to deliver products on time is a typical problem: | in both off-line and e-commerce.
Automated warehouses for 132C companies are designed: | to facilitate the delivery of small quantities of product to a very large number of customers.
recognizes that are the core of a business and that a companys success depends on effectively managing its relationships with them. | Customer relationship management; customers
For companies, it may be even more important to change strategies quickly. | pure play
Capabilities of the Internet that have made it more difficult for companies to capture profits include all of the following EXCEPT: | The Internet makes it easier to make secure payments.
Projections of the business technological, political, economic, and other environmentsare called: | forecasts.
A specific outcome of the strategy initiation phase is the , which includes the vision, mission, value proposition, goals, capabilities, constraints, strengths, and weaknesses of the company. | company analysis
Googles is its expertise in information search technology. | core competency
is the process of making the selected applications and projects a reality by hiring staff; purchasing equipment; licensing, purchasing, or writing software; and contracting vendors. | Project management
An analytical tool in which a company looks for points of differentiation between competitors and itself is called: | competitor analysis grid
is the continuous evaluation of progress toward the organizations strategic goals, resulting in corrective action and, if necessary, strategy reformulation. | strategy assessment
The most efficient way to expand an organizations scope is: | to introduce new products or services into new or existing markets without increasing production facilities or staff.
Separating a companys online operations into a new company makes sense in each of the following situations EXCEPT: | when the company is unable to form new alliances, attract new talent, or raise additional funding.
Internet technologies can provide consumers with easier access to pricing information, which increases their bargaining power. To remain competitive and profitable, sellers need smarter pricing strategies, which include all of the following strategies EXCEPT: | reducing prices.
A is a form of business alliance composed of several business partners that share the costs and resources for the development or production of a product or service. | virtual corporation
The most important objectives of strategic assessment are all of the following EXCEPT: | Identify what competitors are doing to avoid head-on competition.
To defend against unethical and illegal business tactics that exploit EC operations, Google, MSN Search, and Yahoo have turned to all of the following aggressive measures except: | Implemented honeypots.
A decision by a judge that may be used as a standard in similar cases that follow is referred to as: | legal precedent
Intellectual property law is the area of law that is associated with each of the following EXCEPT: | business contracts.
Which of the following is true about copyrights? | The entertainment industry, led primarily by the Motion Picture Association of America (MPAA) and RIAA, is trying technical solutions via the legal system to protect its interests.
Each of the following statements about digital rights management (DRM) is true EXCEPT: | DRM technologies were developed with strict regard for privacy protection.
Which of the following is true about the scope of business ethics? | The scope of business ethics has expanded to encompass the nature and quality of the relationships with shareholders, customers, business partners, suppliers, the community, environment, and future generations.
Which of the following statements about the rights to privacy andfree speech is not correct? | The Internet has destroyed the right to privacy.
All of the following are ways to use the Internet to find information about an individual EXCEPT: | Stealing the individuals computer.
_____________ are a popular online publishing technology for creating a Web page that can be edited by anyone with a standard Web browser | Wikis
All of the following are problems in implementing e-Government EXCEPT: | the technology needed to implement stage 6 of the Deloitte transformation process does not exist yet.
Which of the following is an example of edutainment? | An online game that uses colorful characters to teach young children about numbers
ore and more people are willing to pay for digital music, as shown by the success of ________ | Apples iTunes
The exclusively online publication of Stephen King's e-book Riding the Bullet in March 2000 | as disrupted by hackers who breached security, then distributed free copies of the book.
A major purpose of an organizational knowledge base is to support and allow ___________ | knowledge sharing
The tasks of KM include each of the following EXCEPT | restricting knowledge access to prevent its transfer between individuals.
Knowledge generated in e-business contributes to the enhancement of three core operating processes, which include all of the following EXCEPT | project management
ustomer-to-customer (C2C) e-commerce is conducted in various ways on the Internet, but the best-known C2C activities are: | C2C auctions\
The e-SCM process that includes integrated production and distribution processes is | supply chain replenishment.
_______________ means that the communication and collaboration are done in real time | *Synchronous
All of the following are types of communication and collaboration done in real time EXCEPT: | *blogging
M-commerce transactions and activities require _____________ and _______________ | hardware and software infrastructures; infrastructure support
Infrastructures that support the wireless connection are: | network access points, mobile communications server switches, and cellular transmitters and receivers.
The exchange of updated information with other computing devices is called: | synchronization.
A ___________ is suitable for mobile users who need to make very short-range device-to-device wireless connections within a small space, such as a single room, and most commonly with Bluetooth | personal area network
ost WLANs run on a telecommunications standard known as ____________, which is more commonly called ______________ | IEEE 802.11; Wi-Fi
The IEEE standard ___________ offers bandwidth transfer rates of 200 to 540 Mbps, which makes it impractical because it exceeds the limits of most broadband connections used by homes and small businesses | 802.11n
Mobile access supports the two functions of sales force mobilization and field service, which extends the reach of _________________ to both employees and business partners on a 24/7 basis to any place where recipients are located | customer relationship management
One way to share information with supply chain partners is wireless _________, which is the science of measuring physical phenomena such as temperature, volume, or an on/off condition at a remote point and transmitting the value to a distant recorder or observer | telemetry
WiMax and 3G wireless mobile technologies offer telemedicine application opportunities that include all of the following EXCEPT | Reduced threat of malpractice suits because there is no hands-on interaction between the remote physician and the patient.
A(n) _________________ is a computer system capable of integrating, storing, editing, analyzing, sharing, and displaying spatial information | geographical information system
All of the following about RFID are true EXCEPT: | An RFID tag can hold 20 times the amount of information a bar code can hold, and the tag can be read through cardboard, wood, and plastic at a range of up to 100 feet.
One initiative underway that could lead to widespread support for the introduction of RFID is the _______________, which identifies the manufacturer, producer, version, and serial number of each item and does not require line-of-sight contact to be read | Electronic Product Code
Two purposes of a type of _____________ auctions are liquidation and market efficiency. | one seller, many potential buyers
The name-your own-price model pioneered by Priceline.com is a type of ___________ auction | one buyer, many potential sellers
A(n) _____________ takes place between sellers and buyers in one industry or for one commodity, such as flowers, cars, or cattle | vertical auction
In electronic auctions, near-perfect market information is available about prices, products, current supply and demand, and so on. This feature provides benefits to___________. | buyers and sellers
______________ refers to the tendency of customers to stay at Web sites longer and come back more often. | Stickiness
Limitations of e-auctions include all of the following EXCEPT: | Dynamic pricing
Compared to competitive markets, auction prices are often __________ when there are multiple bidders | higher
Compared to competitive markets, auction prices are often __________ when there are very few bidders | lower
John wants to know if the first edition novel he just purchased through an e-auction is actually a first edition. The auction host helps him locate an expert that will tell him whether the novel is a genuine first edition or a fake. This is an example of | authentication.
Each of the following is true about auction rules EXCEPT | Rules eliminate conflicts with existing distributors and distribution channels.
Many auction sites are implementing ______________ because of the significant increase in the number of users who browse the Internet wirelessly | m-commerce applications
The U.S. agencies dedicated to eliminating fraud resulting from phishing and crimeware are: | The High-Tech Crime Network, Anti-Phishing Working Group, and Federal Trade Commission
___________ is a crimeware technique used to steal the identity of target companies to get the identities of their customers. | Phishing.
Where do a huge majority, possibly as high as 95 percent, of hackers reside? | Turkey, China, Romania, or Brazil.
The protection of information systems against unauthorized access to or modification of information that is stored, processed, or being sent over a network is referred to as ________. | Information assurance.
The success and security of EC depends on the __________ of information and the business Web site | confidentiality, integrity, and availability
In 2005, human error was responsible for almost _______ percent information security breaches in organizations | 60
Which technologies are designed and used to secure EC communications across a network? | Access control lists, tokens, passwords, and biometric systems
Secure Socket Layer (SSL), which is also known as Transport Layer Security (TLS): | is one of the major generally accepted protocols for securing e-commerce used by Microsoft and Netscape.
In the United States, which the federal laws place legal limits on monitoring activity? | The Wiretap Act and the Pen Register, Trap, and Trace Devices statute
A payment card that provides the holder with credit to make purchases up to a limit fixed by the card company and charges relatively high interest rates on unpaid balances is the: | credit card.
______________ offer Internet Merchant Accounts, which are special accounts for credit card authorization and payment processing. | Acquiring banks
_____________ are small online payments typically under US$10: | E-micropayments
An advantage of e-checks is that they: | fit current business practices, and so require little process reengineering.
The nationwide batch-oriented electronic funds transfer system that provides for interbank clearing of electronic payments for participating financial institutions is called the: | Automated Clearinghouse Network.
Unlike the physical supply chain, _______________ characterize the financial supply chains of most companies. | inefficiencies
Barriers inhibiting B2B electronic payment include all of the following EXCEPT: | strict standard formats for remittance information.
According to a survey by Credit Research Foundation, the major reasons companies turn to EIPP solutions are all of the following EXCEPT: | elimination of billing disputes
____________ is an EIPP many-to-many model with a third party acting as an intermediary, collecting or aggregating invoices from multiple sellers and payments from multiple buyers. | Consolidator
Among the forms of online B2B payments, _____________ is second only to ACH in terms of frequency of use. | Fedwire, or wire transfe
All of the following are advantages of using purchase cards EXCEPT: | they are widely accepted in international trade.
In global trade, a ______________ is a written agreement by a bank to pay the seller, on account of the buyer, a sum of money upon presentation of certain documents. | letter of credit
All of the following are benefits of letters of credit (LCs) EXCEPT: | LCs are cheap and easy to establish.
The current Internet sales tax moratorium in the United States applies to: | all sales made over the Internet if the seller has no physical presence in the state where the buyer lives.
Many B2C and B2B businesses rely on specialized third-party software and services to calculate the taxes associated with a sale because: | of the complexities.
For _____________ companies, it may be even more important to change strategies quickly. | pure play
Projections of the business technological, political, economic, and other environments are called | forecasts.
The unique combination of resources, experiences, and expertise within a particular firm is called their: | core competencies
A specific outcome of the strategy initiation phase is the ________________, which includes the vision, mission, value proposition, goals, capabilities, constraints, strengths, and weaknesses of the company. | company analysis
A specific outcome of the strategy initiation phase is a clear statement of the companys ________________, which summarizes the customer segment, competitor target, and the core differentiation of ones product from the offerings of competitors. | value proposition
Many of the outcomes from the first two phases of the strategic planning process, such as a determination of goals, competitor analysis, strategic opportunities, and risk analysis come together in a _______________. | business plan
A management tool that assesses organizational progress toward strategic goals by measuring performance in a number of different area is | balanced scorecard
After four years in business, a magazine publisher decides to add the online distribution of its magazine to its existing traditional publishing business. The company would need to develop a: | business case.
The risks of being a first mover include all of the following EXCEPT | the risk that the move will be too late.
Factors that determine whether a first mover succeeds or fails in the EC marketplace include all of the following EXCEPT: | the speed of market entry
Rite Aid, a click-and mortar firm, enhanced its EC future by: | Buying an equity stake in a existing EC company.
Incorrect approaches to EC strategy selection include all of the following EXCEPT: | using a late-mover strategy.
All of the following determine the degree of collaboration between off-line and online activities in a business EXCEPT: | the pricing strategy
The _____________ pricing strategy means adding up all the costs involved, such as material, labor, rent, overhead, and so forth, and adding a percentage mark-up as profit. | cost-plus
Implementing EC often requires significant investments in infrastructure. Therefore, a good way to start is to undertake _____________________. | one or a few small EC pilot projects
CIOs need to effectively communicate the value of proposed EC projects in order to gain approval for all of the following reasons EXCEPT: | Demand for expanding or initiating e-business projects is no longer strong so there are fewer requests for funding.
One basic way to categorize different EC investments is to distinguish between investments in infrastructure and investment in specific EC applications because benefits from infrastructure investments: | are made for the long-term.
The basic reasons that companies invest in IT and EC are all of the following EXCEPT: | to justify new marketing campaigns
Not all EC investments need to be formally justified. All of the following are cases where formal evaluation may not be needed EXCEPT: | When competitors have made that type of investment
Metrics are used to describe all of the following EXCEPT: | standards.
Productivity benefits from using EC are difficult to measure because: | EC gains in certain areas of the company may be offset by losses in other areas.
The relationship between EC investment and organizational performance is: | indirect.
EC costs and benefits can be classified into two broad categories: | tangible and intangible
The New York Metropolitan Transit Authority (MTA) did not need to open another airport for almost two decades, even though air traffic had tripled because of productivity gains derived from improved IT systems. IT systems added by the MTA played critical roles in ticket reservations, passenger and luggage check-in, crew assignment and scheduling, runway maintenance and management, and gate assignments. This case illustrates that: | Intangible benefits can be complex, yet substantial
An important category of intangible benefits is ____________ factors that include comfort to employees, impact on the physical environment, changes to the power distribution in an organization, and preventing invasion of the privacy of employees and customers. | social subsystem
In B2C, an example of a tangible EC metric from the buyers perspective is: | cost/price of the product.
For Governments, an example of an intangible EC metric is: | reelection of candidates
The major steps in the process of justifying large-scale EC and IT projects include all of the following EXCEPT: | Be careful not to over-estimate cost and under-estimate benefits (a tendency of many managers)
Types of costs and cost issues that need to be considered in justifying EC investments include all of the following EXCEPT: | opportunity costs.
Traditional methods for evaluating EC investments include all of the following EXCEPT: | Discount rate
Dan Welch, who owns three World Cup Coffee shops in Portland, Oregon, estimates that his free Wi-Fi network has added 10 percent to his overall revenue. Welch credits Wi-Fi consumers with spending three times as much on food compared with the average consumer. This is an example of: | business ROI
Pouillys Poodle Shop wants to produce monthly cash flows from its Internet Doggie-Cam investment. The most appropriate method for assessing this investment is: | Internal rate of return (IRR).
By calculating the difference between TCO and TBO, one can compute the ________ of an IT investment. | Payoff
The disadvantage of the NPV method for evaluating EC and IT is: | it is difficult to compare projects of unequal lifes pans or sizes
